2018rank,City,State,2018estimate,2010Census,Change,2016 land area (Sq.mi),2016 land area (Sq.Km),2016 population density (per Sq.mi),population density (per Sq.Km),Location,Country,Settled,Named for,Type,Body,Mayor,Total (sq.mi),Land (sq.mi),Water (sq.mi),Metro,Elevation (in ft),Estimate,Density (per sq.mi),Demonym,Time zone,Summer ,ZIP Codes,FIPS code,Website,CSA,Incorporated,Urban (sq.mi),Area codes,GNIS feature IDs,Counties,City Area (sq.mi),Commuter Rail,Interstates,State Routes,Founded,City Manager,City Council,Primary Airport
43,Long Beach,California,"467,354","462,257",+1.10%,50.3,130.3,"9,347","3,609",33°48′33″N 118°09′19″W﻿ ,United States,,,Council-manager,,Robert Garcia (D),,50.32,1.16,"13,131,431",52 ft,"469,450","9,343.55",,UTC−08:00 (Pacific),UTC−07:00 (PDT),"90801–90810, 90813–90815, 90822, 90831–90835, 90840, 90842, 90844, 90846–90848, 90853, 90895, 90899",06-43000,www.longbeach.gov,Los Angeles-Long Beach,"December 13, 1897",,562,"1652747, 2410866",Los Angeles,51.48,,,,,Patrick H. West,,Los Angeles International AirportLAX (Major/International)
44,Virginia Beach,Virginia,"450,189","437,994",+2.78%,244.7,633.8,"1,850",710,36°46′48″N 76°01′31″W﻿ ,United States,,,Council-manager,,Bobby Dyer (R),,244.72,252.78,"1,725,246",10 ft,"450,189","1,840.58",,UTC−5 (EST),UTC−4 (EDT),,51-82000,www.vbgov.com,,1906,"1,212,000",757,1500261,None (Independent city),,,,,,,,
45,Oakland,California,"429,082","390,724",+9.82%,55.9,144.8,"7,514","2,901",37°46′11″N 122°13′33″W﻿ ,United States,,The large oak forest that originally covered the area,Strong mayor,,Libby Schaaf (D),77.86,55.89,21.97,,43 ft,"425,195","7,514.45",Oaklander,UTC−08:00 (Pacific),UTC−07:00 (PDT),"94601–94615, 94617–94624, 94649, 94659–94662, 94666",06-53000,www.oaklandca.gov,,"May 4, 1852",,510,"277566, 2411292",Alameda,,,,,,,,Oakland International AirportOAK (Major/International)
46,Minneapolis,Minnesota,"425,403","382,578",+11.19%,54.0,139.9,"7,660","2,960",44°57′48″N 93°16′06″W﻿ ,United States,,,Weak mayor–council,Minneapolis City Council,Jacob Frey (D),,54.00,3.49,"3,629,190",830 ft,"425,403","7,820.80",Minneapolitan,UTC–6 (CST),UTC–5 (CDT),55401–55488 (range includes some ZIP Codes for Minneapolis suburbs),27-43000,www.minneapolismn.gov,"4,014,593 (US: 16th)",1867,,612,0655030,Hennepin,57.49,,,,,,,
47,Tulsa,Oklahoma,"400,669","391,906",+2.24%,196.8,509.7,"2,048",791,36°07′40″N 95°54′08″W﻿ ,United States,,,Mayor-Council,,G. T. Bynum (R),,192.7,4.2,"991,561",722 ft,"413,505","2,074",Tulsan,UTC−6 (CST),UTC−5 (CDT),"ZIP codes
74101–74108, 74110, 74112, 74114–74117, 74119–74121, 74126, 74127–74137, 74141, 74145–74150, 74152–74153, 74155–74159, 74169–74172, 74182, 74186–74187, 74192–74193",40-75000,cityoftulsa.org,"1,231,458 (US: 45th)",,,539/918,1100962,"Osage, Rogers, Tulsa, Wagoner",196.8,,,,,,,
48,Arlington,Texas,"398,112","365,438",+8.94%,95.8,248.1,"4,100","1,600",32°42′03″N 97°07′29″W﻿ ,United States,,,Council–Manager,,Jeff Williams (R),,96.5,3.2,"6,810,913",604 ft,"396,394","3,810",Arlingtonite,UTC−6 (CST),UTC−5 (CDT),76000-76099 (76029 is exclusive to UT-Arlington),48-04000,www.arlingtontx.gov,"7,206,144 (7th)(DFW Metroplex)",,"5,121,892","817, 214, 972",1372320,Tarrant,99.7,,,,,Trey Yelverton,,
49,Tampa,Florida,"392,890","335,709",+17.03%,113.4,293.7,"3,326","1,284",27°58′12″N 82°28′47″W﻿ ,United States,1823,,Mayor-council,,Jane Castor (D),,113.42,61.80,"2,554",48 ft,"392,890","3,325.47","Tampan, Tampanian, Tampeño",UTC−5 (EST),UTC−4 (EDT),"33601–33626, 33629–33631, 33633–33635, 33637, 33646, 33647, 33650, 33655, 33660–33664, 33672–33675, 33677, 33679–33682, 33684–33689, 33694",12-71000,www.tampagov.net,,"January 18, 1849",802.3,813,0292005,Hillsborough,,,,,,,,Tampa International Airport
50,New Orleans,Louisiana,"391,006","343,829",+13.72%,169.4,438.7,"2,311",892,30°03′12″N 89°56′04″W﻿ ,United States,,"Philippe II, Duke of Orléans (1674–1723)",Mayor–council,,LaToya Cantrell (D),,169.42,180.43,"3,755.2",6.5to20 ft,"393,292","2,310.78",New Orleanian,UTC−6 (CST),UTC−5 (CDT),,22-55000,nola.gov,,,,504,,,,,,,1718,,,
51,Wichita,Kansas,"389,255","382,368",+1.80%,160.4,415.4,"2,431",939,37°41′27″N 97°20′45″W﻿ ,United States,,Wichita people,Council-Manager,,Jeff Longwell (R),,159.29,4.30,"644,888","1,302 ft","389,255","2,300",Wichitan,UTC−6 (CST),UTC−5 (CDT),"67201-67221, 67223, 67226-67228, 67230, 67232, 67235, 67260, 67275-67278",20-79000 ,wichita.gov,"672,796 (US: 74th)",1870,,316,,Sedgwick,,,,,1868,Robert Layton,,
52,Cleveland,Ohio,"383,793","396,815",−3.28%,77.7,201.2,"4,965","1,917",41°28′43″N 81°40′46″W﻿ ,United States,,Moses Cleaveland,Mayor–council,Cleveland City Council,Frank G. Jackson (D),,77.70,4.77,"2,055,612",653 ft,"385,524","5,107.0",Clevelander,UTC−5 (EST),UTC−4 (EDT),"ZIP Codes
44101–44106, 44108–44115, 44118–44122, 44124–44130, 44134–44135, 44143–44144, 44181, 44188, 44190–44195, 44197–44199",39-16000,www.cleveland-oh.gov,"3,501,538 (US: 16th)","December 23, 1814 (village)","1,780,673",216,1066654,Cuyahoga,82.47,,,,"July 22, 1796",,,
53,Bakersfield,California,"383,579","347,483",+10.39%,148.8,385.4,"2,529",976,35°19′16″N 119°01′06″W﻿ ,United States of America,,Thomas Baker,Council-Manager,Bakersfield City Council,Karen K. Goh (R),,149.73,1.47,"8,161.42",404 ft,"383,579","2,561.80",Bakersfieldian,UTC−8 (Pacific),UTC−7 (PDT),"93220, 93241, 93263, 93301–93309, 93311–93314, 93380–93390, 93399",06-03526,www.bakersfieldcity.us,,1873–1876,138.44,661,"1652668, 2409774",Kern,151.20,(planned),,,,Alan Tandy,,
54,Aurora,Colorado,"374,114","325,078",+15.08%,153.5,397.6,"2,356",910,39°41′17″N 104°41′23″W﻿ ,United States,,,Home Rule Municipality,,Bob LeGare,,153.52,0.67,"2,814,330","5,403 ft","361,710","2,356.05",,UTC−7 (MST),UTC−6 (MDT),"80010-80019, 80040-80047 (all but 80045 PO Boxes), 80137, 80247",08-04000,auroragov.org,,"1903-05-05, as the Town of Fletcher","2,374,203",Both 303 and 720,,Arapahoe CountyAdams CountyDouglas County,,,,,,Jim Twombly,,
55,Anaheim,California,"352,005","336,265",+4.68%,50.0,129.5,"7,021","2,711",33°51′20″N 117°45′36″W﻿ ,United States,,"""Ana"", after the Santa Ana River, and ""heim"", the German word for ""home"".",,,Harry Sidhu (R),50.93,50.32,0.60,,157 ft,"352,005","7,004.97",,UTC−8 (Pacific),UTC−7 (PDT),"92801–92809, 92812, 92814–92817, 92825, 92850, 92899",06-02000,www.anaheim.net,,"March 18, 1876",,657/714,"1652663, 2409704",Orange,,(planned),,,,,,John Wayne International AirportSNA (Major/International)
56,Honolulu,Hawaii,"347,397","337,256",+3.01%,60.5,156.7,"5,815","2,245",21°19′27″N 157°50′51″W﻿ ,United States,,,,,Kirk Caldwell (D),,60.5,7.9,"953,207",19 ft,"359,870","5,791",Honolulan,UTC−10 (Hawaiian (HST)),,96801–96850,15-17000,www.honolulu.gov,,"April 30, 1907",,808,366212,Honolulu,68.4,,,,,,,
57,Santa Ana,California,"332,725","324,528",+2.53%,27.1,70.2,"12,333","4,762",33°44′11″N 117°52′59″W﻿ ,United States,,Saint Anne,,,Miguel A. Pulido,27.39,27.15,0.25,,115 ft,"334,217","12,311.83",,UTC−8 (Pacific),UTC−7 (PDT),"92701–92708, 92711, 92712, 92728, 92735, 92799",06-69000,santa-ana.org,,"June 1, 1886",,"657/714, 949","1652790, 2411814",Orange,,,,,1869,,,John Wayne International AirportSNA (Major/International)
58,Riverside,California,"330,063","303,871",+8.62%,81.2,210.3,"3,999","1,544",33°56′17″N 117°23′36″W﻿ ,United States,,,Council-manager,,,81.54,81.23,0.31,,827 ft,"327,728","4,034.57",,UTC−8 (Pacific),UTC−7 (PDT),"92501–92509, 92513–92519, 92521–92522",06-62000,riversideca.gov,,"October 11, 1883; 135 years ago (1883-10-11)",,951,"1661315, 2410965",Riverside,,(proposed Phase 2),,,,Al Zelinka,,San Bernardino International AirportSBD (Major/International)
59,Corpus Christi,Texas,"326,554","305,215",+6.99%,174.6,452.2,"1,866",720,27°45′15″N 97°10′24″W﻿ ,United States,,Body of Christ,Council-manager government|Council-Manager,,,,174.6,329.0,"442,600",7 ft,"325,605","1,830",,UTC−6 (CST),UTC−5 (CDT),"78401–78402, 78404–78418",48-17000,www.cctexas.com,"516,793 (87th)",,,361,1333380,"Nueces, Kleberg, San Patricio, Aransas",503.6,,,,,"Samuel ""Keith"" Selman (Interim)",,
60,Lexington,Kentucky,"323,780","295,803",+9.46%,283.6,734.5,"1,123",434,38°02′27″N 84°27′30″W﻿ ,United States,,,,,Linda Gorton,,284.5,1.0,"512,650",978 ft,,"1,042.8",Lexingtonian,UTC−5 (EST),UTC−4 (EDT),"40502–40517, 40522–40524, 40526, 40533, 40536, 40544, 40546, 40550, 40555, 40574–40583, 40588, 40591, 40598",,www.lexingtonky.gov,,1831,87.5,859,,Fayette,,,,,,,,
61,Stockton,California,"311,178","291,707",+6.67%,61.7,159.8,"4,977","1,922",37°58′35″N 121°18′48″W﻿ ,United States,,Robert F. Stockton,City Manager-Council,,Michael Tubbs (D),,61.67,3.08,"726,126",13 ft,"310,496","4,979.52",,UTC−8 (Pacific),UTC−7 (PDT),"95201–95213, 95215, 95219, 95267, 95269, 95296–95297",06-75000,www.stocktongov.com,,"July 23, 1850",,209,"1659872, 2411987",San Joaquin,64.75,,,,,Kurt O. Wilson,,
62,Henderson,Nevada,"310,390","257,729",+20.43%,104.7,271.2,"2,798","1,080",36°00′35″N 115°02′09″W﻿ ,United States,,Charles Henderson,Council-manager,,Debra March (D),107.7,107.7,0.0,,"1,864 ft","302,539",,,UTC−8 (PST),UTC−7 (PDT),"89002, 89009, 89011, 89012, 89014-89016, 89044, 89052, 89053, 89074, 89077",32-31900,www.cityofhenderson.com,,"April 16, 1953",,702 and 725,,Clark,,,,,1941,Richard Derrick,,
63,Saint Paul,Minnesota,"307,695","285,068",+7.94%,52.0,134.7,"5,815","2,245",44°56′56″N 93°06′15″W﻿ ,United States,,St. Paul the Apostle,,,Melvin Carter (DFL),,51.97,4.20,"3,524,583",795 ft,"306,621","5,899.51",Saint Paulite,UTC−6 (CST),UTC−5 (CDT),55101–55175,27-58000,www.stpaul.gov,,"March 4, 1854",,651,,Ramsey,56.18,,,,,,,
64,St Louis,Missouri,"302,838","319,294",−5.15%,62.0,160.6,"5,023","1,939",38°38′09″N 90°14′41″W﻿ ,United States,,Louis IX of France,Mayor–council government,,Lyda Krewson (D),,61.9,4.1,.,466 ft,"308,626","4,985.9",St. Louisan,UTC−6 (CST),UTC−5 (CDT),"(Almost all of63101-63199)
63101-63141, 63143-63147, 63150-63151, 63155-63158, 63160, 63163-63164, 63166-63167, 63169, 63171, 63177-63180, 63182, 63188, 63190, 63195, 63197-63199",,stlouis-mo.gov,"2,911,945 (US: 19th)",1822,923.6,314,,,,,,,1764,,,
65,Cincinnati,Ohio,"302,605","296,943",+1.91%,77.4,200.5,"3,860","1,490",39°08′25″N 84°30′21″W﻿ ,United States,1788,Society of the Cincinnati,Mayor–council,Cincinnati City Council,John Cranley (D),,201.862,4.142,"2,137,406",147 m,"302,601","1,471.02",Cincinnatian,UTC−5 (EST),UTC−4 (EDT),"ZIP Codes
45201–45209, 45211–45255, 45258, 45262–45264, 45267–45271, 45273–45275, 45277, 45280, 45296, 45298–45299, 45999",39-15000,cincinnati-oh.gov,,"January 1, 1802",,"513, 
937",1066650,Hamilton,206.012,,,,,,,
66,Pittsburgh,Pennsylvania,"301,048","305,704",−1.52%,55.4,143.5,"5,481","2,116",40°26′23″N 79°58′36″W﻿ ,United States,,"""The Great Commoner"": Prime Minister William Pitt",Mayor-Council,,Bill Peduto (D),,55.38,2.97,"5,343",,"306,803","5,460.98","Pittsburgher, Yinzer",UTC−5 (Eastern Standard Time),UTC−4 (Eastern Daylight Time),,42-61000,PittsburghPA.gov,"2,659,937 (US: 20th)",,"1,775,634","412, 724, 878",1213644,Allegheny,58.34,,,,"November 27, 1758",,"Councilmembers
Darlene HarrisTheresa Kail-SmithBruce Kraus (President)Anthony CoghillCorey O'ConnorDaniel LavelleDeborah GrossErika StrassburgerRev. Ricky Burgess",
67,Greensboro,North Carolina,"294,722","269,666",+9.29%,128.3,332.3,"2,237",864,36°05′42″N 79°49′37″W﻿ ,United States,,Major General Nathanael Greene,City Council,,Nancy B. Vaughan (D),,126.5,5.3,,897 ft,"287,027",,,UTC−5 (EST),UTC−4 (EDT),"27214, 27282, 27301, 27358, 27401, 27402, 27403, 27404, 27405, 27406, 27407, 27408, 27409, 27410, 27411, 27412, 27413, 27415, 27420, 27412, 27429, 27435, 27438, 27455, 27495, 27497, 27498, 27499",37-28000,www.greensboro-nc.gov,"1,599,477",,"311,810",336,1020557,Guilford,131.8,,,,,David Parrish,,
68,Anchorage,Alaska,"291,538","291,826",−0.10%,"1,706.6","4,420.1",175,68,61°10′27″N 149°17′03″W﻿ ,United States,1914,The anchorage at the mouth of Ship Creek,,Anchorage Assembly,Ethan Berkowitz (D),,1706.61,256.00,"399,148",102 ft,"291,538",151.94,"Anchoragite
Anchoriginal (informal)",UTC-9 (AKST),UTC-8 (AKDT),"99501–99524, 99529-99530, 99599",02-03000,Municipality of Anchorage,,"November 23, 1920 (city)
January 1, 1964 (borough)
September 15, 1975(unified municipality)",78.8,907,,,,,,,,,,
69,Plano,Texas,"288,061","259,841",+10.86%,71.7,185.7,"3,990","1,540",33°03′03″N 96°44′52″W﻿ ,United States,,,Council-Manager,Plano City Council,Harry LaRosiliere (D),,71.6,0.1,"7,102,796",666 ft,,"3,820.2",Planoite,UTC−6 (CST),UTC−5 (CDT),"75023-26, 75074-75, 75086, 75093-94",48-58016,www.plano.gov,,1873,,"214, 469, 972",,"Collin, Denton",71.6,,,,,Mark Israelson,,
70,Lincoln,Nebraska,"287,401","258,379",+11.23%,92.1,238.5,"3,044","1,175",40°48′38″N 96°40′49″W﻿ ,United States,,Abraham Lincoln,Strong Mayor-Council,,Leirion Gaylor Baird (D),,92.913,1.354,"1,422.269","1,176 ft","287,401","3,020.5",Lincolnite,UTC-6 (CST),UTC-5 (CDT),"68501-68510, 68512, 68514, 68516-68517, 68520-68524, 68526-68529, 68531-68532, 68542, 68544, 68583, 68588",31-28000,lincoln.ne.gov,"2,282.229 sq mi (5,910.95 km2)","April 1, 1869",89.610,"402, 531",0837279,Lancaster,,,,,Lancaster 1856,,"Members list
Jon CampRoy ChristensenCarl EskridgeLeirion Gaylor BairdCyndi LammJane RaybouldBennie Shobe",
71,Orlando,Florida,"285,713","238,300",+19.90%,105.2,272.5,"2,635","1,017",28°25′00″N 81°16′25″W﻿ ,United States,,,Mayor–Commission,,Buddy Dyer (D),294.612,272.512,22.102,"2,387,138",25 m,"280,257","1,017.102",Orlandoan,UTC−5 (Eastern (EST)),UTC−4 (EDT),32825,12-53000,http://www.cityoforlando.net,"3,129,308 (17th, U.S.)","July 31, 1875","1,690.32","321, 407",0288240,Orange,,,,,,,"Members
Jim Gray (R)Tony Ortiz (R)Robert Stuart (D)Patty Sheehan (D)Regina Hill (D)Samuel B. Ings (D)",
72,Irvine,California,"282,572","212,375",+33.05%,65.6,169.9,"4,057","1,566",33°40′42″N 117°46′17″W﻿ ,United States,,James Irvine,Council-Manager,,Christina L. Shea,65.92,65.58,0.34,,56 ft,"276,176","4,211.28",Irvinite,UTC−8 (Pacific),UTC−7 (PDT),"92602–92604, 92606, 92612, 92614, 92616–92620, 92623, 92650, 92697",06-36770,cityofirvine.org,,"December 28, 1971",,"949, 657/714","1660804, 2410116",Orange,,,,,,John Russo,,John Wayne International AirportSNA (Major/International)
73,Newark,New Jersey,"282,090","277,140",+1.79%,24.1,62.4,"11,691","4,514",40°43′27″N 74°10′21″W﻿ ,United States,,"Newark-on-Trent, England",Faulkner Act (Mayor-Council),City Council,Ras Baraka (D),26.107,24.187,1.920,,13 ft,"282,090","11,458.3",Newarker,UTC−5 (Eastern (EST)),UTC−4 (Eastern (EDT)),"07101-07108, 07112, 07114",3401351000,newarknj.gov,,"October 31, 1693 (as township)",,862/973,0885317,Essex,,,,,Religious colony (1663),,,
74,Toledo,Ohio,"274,975","287,208",−4.26%,80.7,209.0,"3,451","1,332",41°39′51″N 83°34′55″W﻿ ,United States,,,,,Wade Kapszukiewicz (D),,80.69,3.43,"608,145",614 ft,"279,789","3,559",Toledoan,UTC−5 (EST),UTC−4 (EDT),"Zip codes
43601, 43603-43615, 43617, 43620, 43623, 43635, 43652, 43654, 43656-43657, 43659-43661, 43666-43667, 43681-43682, 43697, 43699",39-77000,www.toledo.oh.gov,,,"507,643","419, 567",,Lucas,84.12,,,,1833,,,
75,Durham,North Carolina,"274,291","228,330",+20.13%,109.8,284.4,"2,395",925,35°58′52″N 78°54′10″W﻿ ,United States,,Bartlett S. Durham,Council-Manager,,Steve Schewel,,107.4,0.9,"542,710",404 ft,"263,016",,Durhamite,UTC−5 (EST),UTC−4 (EDT),"27701, 27702, 27703, 27704, 27705, 27706, 27707, 27708, 27709, 27710, 27711, 27712, 27713, 27715, 27717, 27722",37-19000,durhamnc.gov,"2,037,430","April 10, 1869",,919,1020059,"Durham, Wake",108.3,,,,,Tom Bonfield,,
76,Chula Vista,California,"271,651","243,916",+11.37%,49.6,128.5,"5,387","2,080",32°37′40″N 117°00′55″W﻿ ,United States,,"Spanish for ""beautiful view""",Council-Manager,,,,49.63,2.46,"5,105,768",66 ft,"270,471","5,383.06",,UTC-8 (PST),UTC-7 (PDT),"91909–91915, 91921",06-13392,www.chulavistaca.gov,,"November 28, 1911",,619,"1660481, 2409461",San Diego,52.09,,,,,Gary Halbert,Mayor Mary Casillas SalasJohn McCannJill GalvezSteve PadillaMike Diaz,San Diego International AirportSAN (Major/International)
77,Fort Wayne,Indiana,"267,633","253,691",+5.50%,110.6,286.5,"2,391",923,41°05′18″N 85°08′38″W﻿ ,United States,,Anthony Wayne,Mayor–council,,Tom Henry (D),,110.63,0.21,"1,368",810 ft,"265,904","2,390.79",,UTC−05:00 (EST),UTC−04:00 (EDT),"ZIP codes
46774, 46802–46809, 46814–46816, 46818, 46819, 46825, 46835, 46845",18-25000,www.cityoffortwayne.org,"615,077 (US: 77th)","January 3, 1829",135.25,260,0434689,Allen,110.84,,,,,,"Council Members
Jason ArpMichael BarrandaDr. John CrawfordTom DidierPaul EnsleyTom FreistrofferGlynn HinesRuss JehlGeoff Paddock",
78,Jersey City,New Jersey,"265,549","247,597",+7.25%,14.8,38.3,"17,848","6,891",40°42′41″N 74°03′53″W﻿ ,United States,,,Faulkner Act (Mayor-Council),City Council,Steven Fulop(D),21.080,14.794,6.286,,20 ft,"265,549","16,736.6",,UTC−5 (EST),UTC−4 (Eastern (EDT)),"07097, 07302-07308, 07310-07311",3401736000,www.jerseycitynj.gov,,"February 22, 1838",,201,0885264,Hudson,,,,,,,,
79,St Petersburg,Florida,"265,098","244,769",+8.31%,61.8,160.1,"4,223","1,631",27°45′43″N 82°38′39″W﻿ ,United States,,"Saint Petersburg, Russia",Strong Mayor-Commission,,Rick Kriseman (D),,61.75,75.89,"2,870,569",44 ft,"263,255","4,226.57","St. Petersburger, St. Peteian, Burgian, Saint Petersburgite",UTC−5 (Eastern (EST)),UTC−4 (EDT),"33701, 33702, 33703, 33704, 33705, 33710, 33712-33713, 33715",12-63000,www.stpete.org,,"February 29, 1892","2,441,770",727,290375,Pinellas,137.64,,,,1888,,,
80,Laredo,Texas,"261,639","236,091",+10.82%,101.1,261.8,"2,544",982,27°33′37″N 99°29′21″W﻿ ,United States,1755,,Council-manager,,Pete Saenz (D),,101.1,1.5,161.76,438 ft,,,Laredoan,UTC−6 (CST),UTC−5 (CST),"78040–78046, 78049",48-41464,laredotexas.gov,,,,956,1339633,Webb,102.6,,,,,Robert A. Eads (interim)Rosario C. Cabello (interim),"Members
Rudy Gonzalez, Jr.Vidal RodriguezMercurio Martinez, IIIAlberto Torres, Jr.Nelly VielmaDr. Marte A. MartinezGeorge J. AltgeltRoberto Balli",
81,Madison,Wisconsin,"258,054","233,209",+10.65%,77.0,199.4,"3,280","1,270",43°05′16″N 89°25′48″W﻿ ,United States,,James Madison,,,Satya Rhodes-Conway (D),,78.95,21.96,"654,230",873 ft,"255,214","3,232.56",Madisonian,UTC−6 (Central),UTC−5 (CDT),,55-48000,cityofmadison.com,"880,520 (US: 61st)",1856,"401,6611",608,,Dane,100.91,,,,1836,,,
82,Chandler,Arizona,"257,165","236,123",+8.91%,64.9,168.1,"3,813","1,472",33°16′58″N 111°51′18″W﻿ ,United States,,,Council-Manager,,Kevin Hartke,65.04,64.94,0.10,,"1,214 ft","253,458","3,810.80",Chandlerite,UTC−7 (MST (no DST)),,"85225, 85224, 85286, 85248, 85249,85247,85246",04-12000,www.chandleraz.gov,,1920,,480,,Maricopa,,,,,"May 17, 1912",,,
83,Buffalo,New York,"256,304","261,310",−1.92%,40.4,104.6,"6,359","2,455",42°53′33″N 78°51′35″W﻿ ,United States,,,,,Byron Brown (D),,40.6,11.9,"1,134,210",600 ft,"258,612","6,436",,UTC−05:00 (EST),UTC−04:00 (EDT),,36-11000,www.city-buffalo.com,"1,213,668 (US: 44th)",1832,"935,906",716,0973345,Erie,52.5,,,,1801,,Buffalo Common Council,
84,Lubbock,Texas,"255,885","229,573",+11.46%,124.6,322.7,"2,027",783,33°33′56″N 101°53′12″W﻿ ,United States,1890,,Council-manager,,Dan Pope (R),,122.41,1.14,"314,840","3,202 ft",,,Lubbockite,UTC−6 (CST),UTC−5 (CDT),"79401-79416, 79423, 79424, 79430, 79452, 79453, 79457, 79464, 79490, 79491, 79493, 79499",48-45000,www.ci.lubbock.tx.us,"338,115","March 16, 1909",,806,1374760,Lubbock,123.6,,,,,W. Jarrett Atkinson,Juan A. Chadis Shelia Patterson Harris Jeff Griffith Steve Massengale Randy Christian Latrelle Joy,
85,Scottsdale,Arizona,"255,310","217,385",+17.45%,183.9,476.3,"1,341",518,33°41′03″N 111°51′40″W﻿ ,United States,,Winfield Scott,Council-Manager,,Jim Lane (R),184.41,183.94,0.47,,"1,257 ft","246,645","1,340.88",,UTC−7 (MST (no DST)),,85250–85271,04-65000,www.scottsdaleaz.gov,,1951,,480,,Maricopa,,,,,,,,
86,Reno,Nevada,"250,998","225,221",+11.45%,107.3,277.9,"2,286",883,39°32′57″N 119°51′00″W﻿ ,United States,,Jesse L. Reno,Council-manager,,Hillary Schieve (ID),,103.0,2.9,"425,417","4,505.6 ft","248,853",,Renoites,UTC−8 (Pacific (PST)),UTC−7 (PDT),89500-89599,32-60600,reno.gov,,"March 16, 1903",,775,0861100,Washoe,105.9,,,,"May 9, 1868",,,
87,Glendale,Arizona,"250,702","226,721",+10.58%,59.1,153.1,"4,161","1,607",33°31′59″N 112°11′24″W﻿ ,United States,,,,,Jerry Weiers (Non-Partisan),59.75,59.36,0.39,,"1,152 ft","246,709","4,142.16",Glendalian,UTC-7 (MST (no DST)),,85301-85318,04-27820,www.glendaleaz.com,,,,623 and 602,,Maricopa,,,,,,,,
88,Gilbert,Arizona,"248,279","208,453",+19.11%,68.0,176.1,"3,487","1,346",33°18′37″N 111°44′35″W﻿ ,United States,,,,,Jenn Daniels (R),,68.00,0.20,"4,737,270","1,237 ft","242,354","3,487.20",,UTC-7 (MST (no DST)),,"85233, 85234, 85295-85298",04-27400,www.gilbertaz.gov,,,,480,,Maricopa,,,,,,,,
89,WinstonSalem,North Carolina,"246,328","229,617",+7.28%,132.5,343.2,"1,828",706,36°06′10″N 80°15′40″W﻿ ,United States,,,,,Allen Joines (D),133.7,132.4,1.2,,970 ft,"242,203","1,800",Winston-Salemite,UTC−5 (Eastern),UTC−4 (EDT),,,www.cityofws.org,"1,642,506 (US: 33rd)",,,336/743,,Forsyth,,,,,"1766 (Salem),1849 (Winston)",Lee D. Garrity,,
90,North Las Vegas,Nevada,"245,949","216,961",+13.36%,98.0,253.8,"2,436",941,36°17′09″N 115°05′38″W﻿ ,United States,,,Council-Manager,,John Lee (D),101.4,101.4,0.04,,"2,205 ft","249,180","2,100",,UTC-8 (PST),UTC-7 (PDT),"89030–89033, 89036, 89081, 89084–89087",32-51800,www.cityofnorthlasvegas.com,,"May 1, 1946",,702 and 725,0847435,Clark,,,,,1919,Qiong Liu,,
91,Norfolk,Virginia,"244,076","242,803",+0.52%,53.3,138.0,"4,599","1,776",36°55′23″N 76°14′41″W﻿ ,United States,,,,,Kenny Alexander (D),,53.28,43.13,"1,672,319",7 ft,"244,703","4,593.03",,UTC−5 (EST),UTC−4 (EDT),"23501-23515, 23517-23521, 23523, 23529, 23541, 23551",51-57000,www.norfolk.gov,,1736,"1,047,869",757,1497051,,,,,,1682,,,
92,Chesapeake,Virginia,"242,634","222,209",+9.19%,338.5,876.7,703,271,36°40′46″N 76°18′06″W﻿ ,United States,,,Council-Manager,,"Dr. Richard W. ""Rick"" West (R)",,338.51,12.44,"1,672,319",,"240,397",710.16,,UTC−5 (EST),UTC−4 (EDT),23320-23328,51-16000,www.cityofchesapeake.net,,,,757,1496841,None (Independent city),,,,,"1963 (1919 as South Norfolk, 1634 as Norfolk County, Virginia)",,,
93,Garland,Texas,"242,507","226,876",+6.89%,57.0,147.6,"4,122","1,592",32°54′35″N 96°37′49″W﻿ ,United States,,,Council-Manager,,,57.1,57.1,0,,551 ft,,"4,000",,UTC-6 (CST),UTC-5 (CDT),75040-75049,48-29000,garlandtx.gov,,1891,,"214, 972, 469",1388185,Dallas,,,,,,Bryan Bradford,Mayor Lori Barnett-DodsonDavid GibbonsDeborah MorrisJerry NickersonJames BookhoutRich AubinRobert VeraScott LeMayRobert John Smith,
94,Irving,Texas,"242,242","216,290",+12.00%,67.0,173.5,"3,557","1,373",32°51′28″N 96°58′12″W﻿ ,United States,,,Council-Manager,,,,67.9,0.4,"6,810,913",482 ft,"238,289","3,227",,UTC-6 (CST),UTC-5 (CDT),75000–75099,48-37000,cityofirving.org,"7,206,144 (7th)","April 14, 1914","5,121,892","972, 817, 469, 214,",1338507,Dallas,67.7,,,,,Chris Hilman ,Mayor Rick StopferJohn C. DanishAllan E. MeagherDennis WebbPhil RiddleOscar WardBrad LaMorgeseKyle TaylorWm. David Palmer,
95,Hialeah,Florida,"238,942","224,669",+6.35%,21.5,55.7,"10,995","4,245",25°52′12″N 80°18′10″W﻿ ,United States,,,Council-Mayor,,Carlos Hernández (R),,21.48,1.34,"5,828,191",7 ft,"239,673","11,007.03",,UTC−5 (EST),UTC−4 (EDT),"33002, 33010-33018",12-30000,www.hialeahfl.gov,,,,"305, 786",0305059,Miami-Dade,22.82,,,,,Mayor Carlos Hernández,,
96,Fremont,California,"237,807","214,089",+11.08%,77.5,200.7,"3,008","1,161",37°29′40″N 121°56′28″W﻿ ,United States,,John Charles Frémont,Council–manager,,,87.62,77.47,10.15,,56 ft,"233,136","3,009.57",,UTC−8 (Pacific),UTC−7 (PDT),"94536–94539, 94555",06-26000,www.fremont.gov,,"January 23, 1956",,510,"277521, 2410545",Alameda,,,,,,Mark Danaj,,
